x1,x2,x3,x4,x5,x6,x7,x8,x9,is_reachable,is_won,is_draw,winning_player,is_won_and_reachable,is_draw_and_reachable,hash
0,0,1,0,0,2,0,2,2,false,false,false,0,false,false,5387987213853874446
0,0,2,0,0,0,0,2,0,false,false,false,0,false,false,12393032027432601388
0,0,2,0,0,0,0,2,1,true,false,false,0,false,false,10075968833965596706
0,0,2,0,0,0,0,2,2,false,false,false,0,false,false,386136385043297608
0,0,2,0,0,1,0,2,0,true,false,false,0,false,false,5519798547596171274
0,0,2,0,0,1,0,2,1,true,false,false,0,false,false,3238341977337758984
0,0,2,0,0,1,0,2,2,false,false,false,0,false,false,12566929108025657750
0,0,2,0,0,2,0,2,0,false,false,false,0,false,false,1393939325664242840
0,0,2,0,0,2,0,2,1,false,false,false,0,false,false,17563734796858821022
0,0,2,0,0,2,0,2,2,false,true,false,2,false,false,10170452147299078692
0,0,0,0,1,0,0,0,0,true,false,false,0,false,false,6582526826360744010
0,0,0,0,1,0,0,0,1,false,false,false,0,false,false,4305010902555170120
0,0,0,0,1,0,0,0,2,true,false,false,0,false,false,13052774556239583702
0,0,0,0,1,1,0,0,0,false,false,false,0,false,false,18186858963469667472
0,0,0,0,1,1,0,0,1,false,false,false,0,false,false,15879084448512436630
0,0,0,0,1,1,0,0,2,true,false,false,0,false,false,6756423940239798844
0,0,0,0,1,2,0,0,0,true,false,false,0,false,false,14060999707278774566
0,0,0,0,1,2,0,0,1,true,false,false,0,false,false,11753229491600585252
0,0,0,0,1,2,0,0,2,true,false,false,0,false,false,4359946945254131522
0,0,1,0,1,0,0,0,0,false,false,false,0,false,false,6302685401869224856
0,0,1,0,1,0,0,0,1,false,false,false,0,false,false,3993784983817483422
0,0,1,0,1,0,0,0,2,true,false,false,0,false,false,12741407796934195492
0,0,1,0,1,1,0,0,0,false,false,false,0,false,false,17876196011848494310
0,0,1,0,1,1,0,0,1,false,true,false,1,false,false,15567717809483008484
0,0,1,0,1,1,0,0,2,false,false,false,0,false,false,6480804623235846658
0,0,1,0,1,2,0,0,0,true,false,false,0,false,false,16056179764770632052
0,0,1,0,1,2,0,0,1,false,false,false,0,false,false,13747705844588204554
0,0,1,0,1,2,0,0,2,true,false,false,0,false,false,4088831244923233936
0,0,2,0,1,0,0,0,0,true,false,false,0,false,false,11054473934039026870
0,0,2,0,1,0,0,0,1,true,false,false,0,false,false,8741351416015907252
0,0,2,0,1,0,0,0,2,true,false,false,0,false,false,18101182303478297298
0,0,2,0,1,1,0,0,0,true,false,false,0,false,false,2482855526023389596
0,0,2,0,1,1,0,0,1,false,false,false,0,false,false,174905088165495442
0,0,2,0,1,1,0,0,2,true,false,false,0,false,false,9499164712868255544
0,0,2,0,1,2,0,0,0,true,false,false,0,false,false,86343350859950626
0,0,2,0,1,2,0,0,1,true,false,false,0,false,false,16225172201265911584
0,0,2,0,1,2,0,0,2,false,true,false,2,false,false,7102511795921492046
0,0,0,0,1,0,0,1,0,false,false,false,0,false,false,13497389391876990944
0,0,0,0,1,0,0,1,1,false,false,false,0,false,false,11220405596248998118
0,0,0,0,1,0,0,1,2,true,false,false,0,false,false,1531026146117342476
0,0,0,0,1,1,0,1,0,false,false,false,0,false,false,6665110521151961294
0,0,0,0,1,1,0,1,1,false,false,false,0,false,false,4347202941392872908
0,0,0,0,1,1,0,1,2,false,false,false,0,false,false,13680293809146965610
0,0,0,0,1,2,0,1,0,true,false,false,0,false,false,2539255697367305564
0,0,0,0,1,2,0,1,1,false,false,false,0,false,false,221312903204925010
0,0,0,0,1,2,0,1,2,true,false,false,0,false,false,11283821109027943160
0,0,1,0,1,0,0,1,0,false,false,false,0,false,false,13190530733324797750
0,0,1,0,1,0,0,1,1,false,false,false,0,false,false,10909038974399471668
0,0,1,0,1,0,0,1,2,false,false,false,0,false,false,1219663887954457938
0,0,1,0,1,1,0,1,0,false,false,false,0,false,false,6353884619594111004
0,0,1,0,1,1,0,1,1,false,true,false,1,false,false,4035840700409955602
0,0,1,0,1,1,0,1,2,false,false,false,0,false,false,13369208645094246840
0,0,1,0,1,2,0,1,0,false,false,false,0,false,false,4533872804888964258
0,0,1,0,1,2,0,1,1,false,false,false,0,false,false,2215789290535504288
0,0,1,0,1,2,0,1,2,true,false,false,0,false,false,11004261125153395406
0,0,2,0,1,0,0,1,0,true,false,false,0,false,false,17969899450582448364
0,0,2,0,1,0,0,1,1,false,false,false,0,false,false,15656218379595441634
0,0,2,0,1,0,0,1,2,true,false,false,0,false,false,6542842250570182152
0,0,2,0,1,1,0,1,0,false,false,false,0,false,false,9371787312389365194
0,0,2,0,1,1,0,1,1,false,false,false,0,false,false,7090330742147874504
0,0,2,0,1,1,0,1,2,true,false,false,0,false,false,16423421472462996310
0,0,2,0,1,2,0,1,0,true,false,false,0,false,false,6975314752930539096
0,0,2,0,1,2,0,1,1,true,false,false,0,false,false,4693858145208714078
0,0,2,0,1,2,0,1,2,true,true,false,2,true,false,14026948909749376996
0,0,0,0,1,0,0,2,0,true,false,false,0,false,false,9227800838272994438
0,0,0,0,1,0,0,2,1,true,false,false,0,false,false,6945922055566436740
0,0,0,0,1,0,0,2,2,true,false,false,0,false,false,16279012785747358242
0,0,0,0,1,1,0,2,0,true,false,false,0,false,false,2967052520449876460
0,0,0,0,1,1,0,2,1,false,false,false,0,false,false,649571413796946658
0,0,0,0,1,1,0,2,2,true,false,false,0,false,false,9982235670905247496
0,0,0,0,1,2,0,2,0,true,false,false,0,false,false,1147040576929245810
0,0,0,0,1,2,0,2,1,true,false,false,0,false,false,17276299244690052976
0,0,0,0,1,2,0,2,2,false,false,false,0,false,false,7617288305717435294
0,0,1,0,1,0,0,2,0,true,false,false,0,false,false,11257883792860064980
0,0,1,0,1,0,0,2,1,false,false,false,0,false,false,8940398425717017066
0,0,1,0,1,0,0,2,2,true,false,false,0,false,false,18274333580828201584
0,0,1,0,1,1,0,2,0,false,false,false,0,false,false,2655967356246032690
0,0,1,0,1,1,0,2,1,false,true,false,1,false,false,373811347476603440
0,0,1,0,1,1,0,2,2,true,false,false,0,false,false,9702675726759049054
0,0,1,0,1,2,0,2,0,true,false,false,0,false,false,835955395679750720
0,0,1,0,1,2,0,2,1,true,false,false,0,false,false,17005042807021664070
0,0,1,0,1,2,0,2,2,true,false,false,0,false,false,7306203125558492140
0,0,2,0,1,0,0,2,0,true,false,false,0,false,false,14276345037595910530
0,0,2,0,1,0,0,2,1,true,false,false,0,false,false,11994329778109186688
0,0,2,0,1,0,0,2,2,false,false,false,0,false,false,2880672173973002030
0,0,2,0,1,1,0,2,0,true,false,false,0,false,false,8014897301528492776
0,0,2,0,1,1,0,2,1,true,false,false,0,false,false,5698120019856975854
0,0,2,0,1,1,0,2,2,true,false,false,0,false,false,14454745737126914164
0,0,2,0,1,2,0,2,0,false,false,false,0,false,false,5618424734654107518
0,0,2,0,1,2,0,2,1,true,false,false,0,false,false,3301643041950525564
0,0,2,0,1,2,0,2,2,false,true,false,2,false,false,12630230310077250714
0,0,0,0,2,0,0,0,0,true,false,false,0,false,false,7976648601987021360
0,0,0,0,2,0,0,0,1,true,false,false,0,false,false,5668838937034204982
0,0,0,0,2,0,0,0,2,false,false,false,0,false,false,14416497037602220124
0,0,0,0,2,1,0,0,0,true,false,false,0,false,false,17820772560230702878
0,0,0,0,2,1,0,0,1,true,false,false,0,false,false,15543788800053000220
0,0,0,0,2,1,0,0,2,true,false,false,0,false,false,5854409178122505402
0,0,0,0,2,2,0,0,0,false,false,false,0,false,false,15428803592849499052
0,0,0,0,2,2,0,0,1,true,false,false,0,false,false,13147311687895256226
0,0,0,0,2,2,0,0,2,false,false,false,0,false,false,4034397354827403720
0,0,1,0,2,0,0,0,0,true,false,false,0,false,false,7665985650365815302
0,0,1,0,2,0,0,0,1,true,false,false,0,false,false,5357472297987868420
0,0,1,0,2,0,0,0,2,true,false,false,0,false,false,14685813274419579810
0,0,1,0,2,1,0,0,0,true,false,false,0,false,false,17514195410998083436
0,0,1,0,2,1,0,0,1,false,true,false,1,false,false,15233161015640660066
0,0,1,0,2,1,0,0,2,true,false,false,0,false,false,7849171438358768776
0,0,1,0,2,2,0,0,0,true,false,false,0,false,false,15117718411616781298
0,0,1,0,2,2,0,0,1,true,false,false,0,false,false,12836789474852826352
0,0,1,0,2,2,0,0,2,false,false,false,0,false,false,3723312190757810462
0,0,2,0,2,0,0,0,0,false,false,false,0,false,false,12412707658724630332
0,0,2,0,2,0,0,0,1,true,false,false,0,false,false,10140821237674522674
0,0,2,0,2,0,0,0,2,false,false,false,0,false,false,1018160695025356120
0,0,2,0,2,1,0,0,0,true,false,false,0,false,false,3846538544152883226
0,0,2,0,2,1,0,0,1,true,false,false,0,false,false,1533138824645483800
0,0,2,0,2,1,0,0,2,false,false,false,0,false,false,10866225294353080742
0,0,2,0,2,2,0,0,0,false,false,false,0,false,false,1454569430776317096
0,0,2,0,2,2,0,0,1,false,false,false,0,false,false,17583405920448602542
0,0,2,0,2,2,0,0,2,false,true,false,2,false,false,8469752714493143604
0,0,0,0,2,0,0,1,0,true,false,false,0,false,false,14865580288495023726
0,0,0,0,2,0,0,1,1,true,false,false,0,false,false,12583705866220426092
0,0,0,0,2,0,0,1,2,true,false,false,0,false,false,2893587544291567498
0,0,0,0,2,1,0,1,0,true,false,false,0,false,false,6298430414919977652
0,0,0,0,2,1,0,1,1,false,false,false,0,false,false,3981507963219653706
0,0,0,0,2,1,0,1,2,true,false,false,0,false,false,12769944785398364368
0,0,0,0,2,2,0,1,0,true,false,false,0,false,false,3897454214998024154
0,0,0,0,2,2,0,1,1,true,false,false,0,false,false,1589538982987086040
0,0,0,0,2,2,0,1,2,false,false,false,0,false,false,10949932820402883942
0,0,1,0,2,0,0,1,0,true,false,false,0,false,false,14590523921310273980
0,0,1,0,2,0,0,1,1,false,false,false,0,false,false,12272339227190899378
0,0,1,0,2,0,0,1,2,true,false,false,0,false,false,3154459532763908056
0,0,1,0,2,1,0,1,0,false,false,false,0,false,false,5987908183489718938
0,0,1,0,2,1,0,1,1,false,true,false,1,false,false,3710955212993009560
0,0,1,0,2,1,0,1,2,true,false,false,0,false,false,14763998925803477030
0,0,1,0,2,2,0,1,0,true,false,false,0,false,false,3586932016987979560
0,0,1,0,2,2,0,1,1,true,false,false,0,false,false,1314482615919646766
0,0,1,0,2,2,0,1,2,true,false,false,0,false,false,10638143968874736820
0,0,2,0,2,0,0,1,0,true,false,false,0,false,false,890220372510329706
0,0,2,0,2,0,0,1,1,true,false,false,0,false,false,17056211533355398248
0,0,2,0,2,0,0,1,2,false,false,false,0,false,false,7942558361742899446
0,0,2,0,2,1,0,1,0,true,false,false,0,false,false,10770377523672035248
0,0,2,0,2,1,0,1,1,true,false,false,0,false,false,8457395720605436086
0,0,2,0,2,1,0,1,2,true,false,false,0,false,false,17782182973333134812
0,0,2,0,2,2,0,1,0,false,false,false,0,false,false,8369396950433181894
0,0,2,0,2,2,0,1,1,true,false,false,0,false,false,6060923141785689540
0,0,2,0,2,2,0,1,2,false,true,false,2,false,false,15385705995527366242
0,0,0,0,2,0,0,2,0,false,false,false,0,false,false,11203551090046377740
0,0,0,0,2,0,0,2,1,true,false,false,0,false,false,8886070086455916546
0,0,0,0,2,0,0,2,2,false,false,false,0,false,false,17637910626176765096
0,0,0,0,2,1,0,2,0,true,false,false,0,false,false,4325391811002429546
0,0,0,0,2,1,0,2,1,true,false,false,0,false,false,2053364502140083560
0,0,0,0,2,1,0,2,2,false,false,false,0,false,false,11377729645616161270
0,0,0,0,2,2,0,2,0,false,false,false,0,false,false,199536836793255160
0,0,0,0,2,2,0,2,1,false,false,false,0,false,false,16374253717738693118
0,0,0,0,2,2,0,2,2,false,false,false,0,false,false,8981257078641125892
0,0,1,0,2,0,0,2,0,true,false,false,0,false,false,10892465908813692754
0,0,1,0,2,0,0,2,1,true,false,false,0,false,false,8578925589240109136
0,0,1,0,2,0,0,2,2,false,false,false,0,false,false,17362717902504422654
0,0,1,0,2,1,0,2,0,true,false,false,0,false,false,4050792823625831352
0,0,1,0,2,1,0,2,1,true,true,false,1,true,false,1742283736117001406
0,0,1,0,2,1,0,2,2,true,false,false,0,false,false,11066398190941913540
0,0,1,0,2,2,0,2,0,false,false,false,0,false,false,2230042003962832078
0,0,1,0,2,2,0,2,1,true,false,false,0,false,false,18369011562748674508
0,0,1,0,2,2,0,2,2,false,false,false,0,false,false,8669890439594789482
0,0,2,0,2,0,0,2,0,false,false,false,0,false,false,15638941636231688200
0,0,2,0,2,0,0,2,1,false,false,false,0,false,false,13358017194167753998
0,0,2,0,2,0,0,2,2,false,false,false,0,false,false,4240031809319657876
0,0,2,0,2,1,0,2,0,false,false,false,0,false,false,7067850962658841942
0,0,2,0,2,1,0,2,1,true,false,false,0,false,false,4759337605969163860
0,0,2,0,2,1,0,2,2,false,false,false,0,false,false,14120329680789830386
0,0,2,0,2,2,0,2,0,false,false,false,0,false,false,4671483947692775908
0,0,2,0,2,2,0,2,1,false,false,false,0,false,false,2362865013324987130
0,0,2,0,2,2,0,2,2,false,true,false,2,false,false,11723821937999073024
0,1,0,0,0,0,0,0,0,true,false,false,0,false,false,9595206651422098450
0,1,0,0,0,0,0,0,1,false,false,false,0,false,false,7282224746349928720
0,1,0,0,0,0,0,0,2,true,false,false,0,false,false,16642055736891667902
0,1,0,0,0,1,0,0,0,false,false,false,0,false,false,3329532384084351352
